"Time","TOI","HbO2","HHb","HbT","PaCO2","t","u","EtCO2"
28.6333333333333,0.2599569293,-0.114990591266667,-0.0951983548,-0.197128084333333,39.7835312618667,1718,1,-0.216468738133333
28.65,0.26120505665,-0.1150487053,-0.0950081644,-0.197366425,39.7835573386,1719,1,-0.2164426614
28.6666666666667,0.262453184,-0.115106819333333,-0.094817974,-0.197604765666667,39.7835834153333,1720,1,-0.216416584666667
28.6833333333333,0.26370131135,-0.115164933366667,-0.0946277836,-0.197843106333333,39.7836094920667,1721,1,-0.216390507933333
28.7,0.2649494387,-0.1152230474,-0.0944375932,-0.198081447,39.7836355688,1722,1,-0.2163644312
28.7166666666667,0.26619756605,-0.115281161433333,-0.0942474028,-0.198319787666667,39.7836616455333,1723,1,-0.216338354466667
28.7333333333333,0.2674456934,-0.115339275466667,-0.0940572124,-0.198558128333333,39.7836877222667,1724,1,-0.216312277733333
28.75,0.26869382075,-0.1153973895,-0.093867022,-0.198796469,39.783713799,1725,1,-0.216286201
28.7666666666667,0.2699419481,-0.115455503533333,-0.0936768316,-0.199034809666667,39.7837398757333,1726,1,-0.216260124266667
28.7833333333333,0.27119007545,-0.115513617566667,-0.0934866412,-0.199273150333333,39.7837659524667,1727,1,-0.216234047533333
28.8,0.2724382028,-0.1155717316,-0.0932964508,-0.199511491,39.7837920292,1728,1,-0.2162079708
28.8166666666667,0.27368633015,-0.115629845633333,-0.0931062604,-0.199749831666667,39.7838181059333,1729,1,-0.216181894066667
28.8333333333333,0.2749344575,-0.115687959666667,-0.09291607,-0.199988172333333,39.7838441826667,1730,1,-0.216155817333333
28.85,0.27618258485,-0.1157460737,-0.0927258796,-0.200226513,39.7838702594,1731,1,-0.2161297406
28.8666666666667,0.2774307122,-0.115804187733333,-0.0925356892,-0.200464853666667,39.7838963361333,1732,1,-0.216103663866667
28.8833333333333,0.27867883955,-0.115862301766667,-0.0923454988,-0.200703194333333,39.7839224128667,1733,1,-0.216077587133333
28.9,0.2799269669,-0.1159204158,-0.0921553084,-0.200941535,39.7839484896,1734,1,-0.2160515104
28.9166666666667,0.28117509425,-0.115978529833333,-0.091965118,-0.201179875666667,39.7839745663333,1735,1,-0.216025433666667
28.9333333333333,0.2824232216,-0.116036643866667,-0.0917749276,-0.201418216333333,39.7840006430667,1736,1,-0.215999356933333
28.95,0.28367134895,-0.1160947579,-0.0915847372,-0.201656557,39.7840267198,1737,1,-0.2159732802
28.9666666666667,0.2849194763,-0.116152871933333,-0.0913945468,-0.201894897666667,39.7840527965333,1738,1,-0.215947203466667
28.9833333333333,0.28616760365,-0.116210985966667,-0.0912043564,-0.202133238333333,39.7840788732667,1739,1,-0.215921126733333
29,0.287415731,-0.1162691,-0.091014166,-0.202371579,39.78410495,1740,1,-0.21589505
29.0166666666667,0.287939139233333,-0.1162934704,-0.09081739525,-0.2024715283,39.7841136932333,1741,1,-0.215886306766667
29.0333333333333,0.288462547466667,-0.1163178408,-0.0906206245,-0.2025714776,39.7841224364667,1742,1,-0.215877563533333
29.05,0.2889859557,-0.1163422112,-0.09042385375,-0.2026714269,39.7841311797,1743,1,-0.2158688203
29.0666666666667,0.289509363933333,-0.1163665816,-0.090227083,-0.2027713762,39.7841399229333,1744,1,-0.215860077066667
29.0833333333333,0.290032772166667,-0.116390952,-0.09003031225,-0.2028713255,39.7841486661667,1745,1,-0.215851333833333
29.1,0.2905561804,-0.1164153224,-0.0898335415,-0.2029712748,39.7841574094,1746,1,-0.2158425906
29.1166666666667,0.291079588633333,-0.1164396928,-0.08963677075,-0.2030712241,39.7841661526333,1747,1,-0.215833847366667
29.1333333333333,0.291602996866667,-0.1164640632,-0.08944,-0.2031711734,39.7841748958667,1748,1,-0.215825104133333
29.15,0.2921264051,-0.1164884336,-0.08924322925,-0.2032711227,39.7841836391,1749,1,-0.2158163609
29.1666666666667,0.292649813333333,-0.116512804,-0.0890464585,-0.203371072,39.7841923823333,1750,1,-0.215807617666667
29.1833333333333,0.293173221566667,-0.1165371744,-0.08884968775,-0.2034710213,39.7842011255667,1751,1,-0.215798874433333
29.2,0.2936966298,-0.1165615448,-0.088652917,-0.2035709706,39.7842098688,1752,1,-0.2157901312
29.2166666666667,0.294220038033333,-0.1165859152,-0.08845614625,-0.2036709199,39.7842186120333,1753,1,-0.215781387966667
29.2333333333333,0.294743446266667,-0.1166102856,-0.0882593755,-0.2037708692,39.7842273552667,1754,1,-0.215772644733333
29.25,0.2952668545,-0.116634656,-0.08806260475,-0.2038708185,39.7842360985,1755,1,-0.2157639015
29.2666666666667,0.295790262733333,-0.1166590264,-0.087865834,-0.2039707678,39.7842448417333,1756,1,-0.215755158266667
29.2833333333333,0.296313670966667,-0.1166833968,-0.08766906325,-0.2040707171,39.7842535849667,1757,1,-0.215746415033333
29.3,0.2968370792,-0.1167077672,-0.0874722925,-0.2041706664,39.7842623282,1758,1,-0.2157376718
29.3166666666667,0.297360487433333,-0.1167321376,-0.08727552175,-0.2042706157,39.7842710714333,1759,1,-0.215728928566667
29.3333333333333,0.297883895666667,-0.116756508,-0.087078751,-0.204370565,39.7842798146667,1760,1,-0.215720185333333
29.35,0.2984073039,-0.1167808784,-0.08688198025,-0.2044705143,39.7842885579,1761,1,-0.2157114421
29.3666666666667,0.298930712133333,-0.1168052488,-0.0866852095,-0.2045704636,39.7842973011333,1762,1,-0.215702698866667
29.3833333333333,0.299454120366667,-0.1168296192,-0.08648843875,-0.2046704129,39.7843060443667,1763,1,-0.215693955633333
29.4,0.2999775286,-0.1168539896,-0.086291668,-0.2047703622,39.7843147876,1764,1,-0.2156852124
29.4166666666667,0.300500936833333,-0.11687836,-0.08609489725,-0.2048703115,39.7843235308333,1765,1,-0.215676469166667
29.4333333333333,0.301024345066667,-0.1169027304,-0.0858981265,-0.2049702608,39.7843322740667,1766,1,-0.215667725933333
29.45,0.3015477533,-0.1169271008,-0.08570135575,-0.2050702101,39.7843410173,1767,1,-0.2156589827
29.4666666666667,0.302071161533333,-0.1169514712,-0.085504585,-0.2051701594,39.7843497605333,1768,1,-0.215650239466667
29.4833333333333,0.302594569766667,-0.1169758416,-0.08530781425,-0.2052701087,39.7843585037667,1769,1,-0.215641496233333
29.5,0.303117978,-0.117000212,-0.0851110435,-0.205370058,39.784367247,1770,1,-0.215632753
29.5166666666667,0.303641386233333,-0.1170245824,-0.08491427275,-0.2054700073,39.7843759902333,1771,1,-0.215624009766667
29.5333333333333,0.304164794466667,-0.1170489528,-0.084717502,-0.2055699566,39.7843847334667,1772,1,-0.215615266533333
29.55,0.3046882027,-0.1170733232,-0.08452073125,-0.2056699059,39.7843934767,1773,1,-0.2156065233
29.5666666666667,0.305211610933333,-0.1170976936,-0.0843239605,-0.2057698552,39.7844022199333,1774,1,-0.215597780066667
29.5833333333333,0.305735019166667,-0.117122064,-0.08412718975,-0.2058698045,39.7844109631667,1775,1,-0.215589036833333
29.6,0.3062584274,-0.1171464344,-0.083930419,-0.2059697538,39.7844197064,1776,1,-0.2155802936
29.6166666666667,0.306781835633333,-0.1171708048,-0.08373364825,-0.2060697031,39.7844284496333,1777,1,-0.215571550366667
29.6333333333333,0.307305243866667,-0.1171951752,-0.0835368775,-0.2061696524,39.7844371928667,1778,1,-0.215562807133333
29.65,0.3078286521,-0.1172195456,-0.08334010675,-0.2062696017,39.7844459361,1779,1,-0.2155540639
29.6666666666667,0.308352060333333,-0.117243916,-0.083143336,-0.206369551,39.7844546793333,1780,1,-0.215545320666667
29.6833333333333,0.308875468566667,-0.1172682864,-0.08294656525,-0.2064695003,39.7844634225667,1781,1,-0.215536577433333
29.7,0.3093988768,-0.1172926568,-0.0827497945,-0.2065694496,39.7844721658,1782,1,-0.2155278342
29.7166666666667,0.309922285033333,-0.1173170272,-0.08255302375,-0.2066693989,39.7844809090333,1783,1,-0.215519090966667
29.7333333333333,0.310445693266667,-0.1173413976,-0.082356253,-0.2067693482,39.7844896522667,1784,1,-0.215510347733333
29.75,0.3109691015,-0.117365768,-0.08215948225,-0.2068692975,39.7844983955,1785,1,-0.2155016045
29.7666666666667,0.311492509733333,-0.1173901384,-0.0819627115,-0.2069692468,39.7845071387333,1786,1,-0.215492861266667
29.7833333333333,0.312015917966667,-0.1174145088,-0.08176594075,-0.2070691961,39.7845158819667,1787,1,-0.215484118033333
29.8,0.3125393262,-0.1174388792,-0.08156917,-0.2071691454,39.7845246252,1788,1,-0.2154753748
29.8166666666667,0.313062734433333,-0.1174632496,-0.08137239925,-0.2072690947,39.7845333684333,1789,1,-0.215466631566667
29.8333333333333,0.313586142666667,-0.11748762,-0.0811756285,-0.207369044,39.7845421116667,1790,1,-0.215457888333333
29.85,0.3141095509,-0.1175119904,-0.08097885775,-0.2074689933,39.7845508549,1791,1,-0.2154491451
29.8666666666667,0.314632959133333,-0.1175363608,-0.080782087,-0.2075689426,39.7845595981333,1792,1,-0.215440401866667
29.8833333333333,0.315156367366667,-0.1175607312,-0.08058531625,-0.2076688919,39.7845683413667,1793,1,-0.215431658633333
29.9,0.3156797756,-0.1175851016,-0.0803885455,-0.2077688412,39.7845770846,1794,1,-0.2154229154
29.9166666666667,0.316203183833333,-0.117609472,-0.08019177475,-0.2078687905,39.7845858278333,1795,1,-0.215414172166667
29.9333333333333,0.316726592066667,-0.1176338424,-0.079995004,-0.2079687398,39.7845945710667,1796,1,-0.215405428933333
29.95,0.3172500003,-0.1176582128,-0.07979823325,-0.2080686891,39.7846033143,1797,1,-0.2153966857
29.9666666666667,0.317773408533333,-0.1176825832,-0.0796014625,-0.2081686384,39.7846120575333,1798,1,-0.215387942466667
29.9833333333333,0.318296816766667,-0.1177069536,-0.07940469175,-0.2082685877,39.7846208007667,1799,1,-0.215379199233333
30,0.318820225,-0.117731324,-0.079207921,-0.208368537,39.784629544,1800,1,-0.215370456
30.0166666666667,0.318807116383333,-0.117484507366667,-0.07899319645,-0.20830093815,39.7843555142333,1801,1,-0.215644485766667
30.0333333333333,0.318794007766667,-0.117237690733333,-0.0787784719,-0.2082333393,39.7840814844667,1802,1,-0.215918515533333
30.05,0.31878089915,-0.1169908741,-0.07856374735,-0.20816574045,39.7838074547,1803,1,-0.2161925453
30.0666666666667,0.318767790533333,-0.116744057466667,-0.0783490228,-0.2080981416,39.7835334249333,1804,1,-0.216466575066667
30.0833333333333,0.318754681916667,-0.116497240833333,-0.07813429825,-0.20803054275,39.7832593951667,1805,1,-0.216740604833333
30.1,0.3187415733,-0.1162504242,-0.0779195737,-0.2079629439,39.7829853654,1806,1,-0.2170146346
